doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,家人,pdf_01000000__01001004___c0c4e6569b__char__502c1de4b1,1,1,0.125,0.025,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,10,123,1.0,0.9389,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,10,131,1.0,1.0,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,四朝官,pdf_01000000__01001005___9cd2b8992a__char__4a0d402c3e,10,58,1.0,0.4427,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,张辽,pdf_01000000__01001005___9cd2b8992a__char__24bee3c180,8,30,0.8,0.229,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,6,24,0.6,0.1832,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,二旗牌,pdf_01000000__01001005___9cd2b8992a__char__c95b93cbf7,5,18,0.5,0.1374,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,朝官甲,pdf_01000000__01001005___9cd2b8992a__char__44892ccf91,4,5,0.4,0.0382,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,朝官丁,pdf_01000000__01001005___9cd2b8992a__char__ff0102ced8,2,2,0.2,0.0153,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,朝官丙,pdf_01000000__01001005___9cd2b8992a__char__2bb281326b,2,2,0.2,0.0153,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,朝官乙,pdf_01000000__01001005___9cd2b8992a__char__e04b80f89f,2,2,0.2,0.0153,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,众人,pdf_01000000__01001005___9cd2b8992a__char__4e8488f1f6,1,1,0.1,0.0076,relations_aggregated
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,陈宫,pdf_01000000__01001006___06011d42c6__char__a596384b04,11,37,1.0,0.9737,relations_aggregated
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,曹操,pdf_01000000__01001006___06011d42c6__char__9353441b83,10,38,0.9091,1.0,relations_aggregated
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,吕伯奢,pdf_01000000__01001006___06011d42c6__char__576ef3218a,6,17,0.5455,0.4474,relations_aggregated
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,班头甲,pdf_01000000__01001006___06011d42c6__char__4c2497874f,4,9,0.3636,0.2368,relations_aggregated
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,店家,pdf_01000000__01001006___06011d42c6__char__e82f0f124a,4,6,0.3636,0.1579,relations_aggregated
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,家人,pdf_01000000__01001006___06011d42c6__char__ff4fc9ad59,3,4,0.2727,0.1053,relations_aggregated
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,班头乙,pdf_01000000__01001006___06011d42c6__char__ab3d966417,2,3,0.1818,0.0789,relations_aggregated
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,童儿,pdf_01000000__01001006___06011d42c6__char__259bd10087,2,2,0.1818,0.0526,relations_aggregated
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,门子,pdf_01000000__01001006___06011d42c6__char__4a1a0168b0,2,2,0.1818,0.0526,relations_aggregated
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,邓伯道,pdf_01000000__01001007___1b262d262b__char__bed496359a,10,56,1.0,1.0,relations_aggregated
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,邓元,pdf_01000000__01001007___1b262d262b__char__08256df84e,7,31,0.7,0.5536,relations_aggregated
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,金氏,pdf_01000000__01001007___1b262d262b__char__c2b1d812f9,6,21,0.6,0.375,relations_aggregated
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,邓方,pdf_01000000__01001007___1b262d262b__char__a9019fb065,5,22,0.5,0.3929,relations_aggregated
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,二家院,pdf_01000000__01001007___1b262d262b__char__a47bbba7bb,5,13,0.5,0.2321,relations_aggregated
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,众家丁,pdf_01000000__01001007___1b262d262b__char__92df934281,3,3,0.3,0.0536,relations_aggregated
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,家人,pdf_01000000__01001007___1b262d262b__char__f30cae50eb,2,2,0.2,0.0357,relations_aggregated
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,番王,pdf_01000000__01001007___1b262d262b__char__44993acbdf,1,1,0.1,0.0179,relations_aggregated
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,巴都鲁,pdf_01000000__01001007___1b262d262b__char__e27dc107aa,1,1,0.1,0.0179,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,刘璋,pdf_01000000__01001008___4e2bf00560__char__4e09592d11,20,135,1.0,1.0,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,刘备,pdf_01000000__01001008___4e2bf00560__char__fd35540fd1,11,62,0.55,0.4593,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,马超,pdf_01000000__01001008___4e2bf00560__char__bbd54af94f,8,31,0.4,0.2296,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,刘玉,pdf_01000000__01001008___4e2bf00560__char__ec3794f24a,7,37,0.35,0.2741,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,王累,pdf_01000000__01001008___4e2bf00560__char__594ba1fde9,7,34,0.35,0.2519,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,诸葛亮,pdf_01000000__01001008___4e2bf00560__char__9dffb49a33,6,28,0.3,0.2074,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,龙套,pdf_01000000__01001008___4e2bf00560__char__bbc944af3a,6,8,0.3,0.0593,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,严颜,pdf_01000000__01001008___4e2bf00560__char__94c98e0d04,3,11,0.15,0.0815,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,赵云,pdf_01000000__01001008___4e2bf00560__char__466355ccab,3,5,0.15,0.037,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,魏延,pdf_01000000__01001008___4e2bf00560__char__045d81a896,3,5,0.15,0.037,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,黄忠,pdf_01000000__01001008___4e2bf00560__char__f1b9e8cdbe,3,5,0.15,0.037,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,探子,pdf_01000000__01001008___4e2bf00560__char__7fa69b9758,3,3,0.15,0.0222,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,众人,pdf_01000000__01001008___4e2bf00560__char__ba9af9fcbb,2,2,0.1,0.0148,relations_aggregated
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,韩廷凤,pdf_01000000__01001009___abd1be1808__char__b93c80f8b9,12,53,1.0,1.0,relations_aggregated
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,吴惠泉,pdf_01000000__01001009___abd1be1808__char__b4e53a2881,10,42,0.8333,0.7925,relations_aggregated
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,韩遇运,pdf_01000000__01001009___abd1be1808__char__c1f921796e,6,28,0.5,0.5283,relations_aggregated
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,江氏,pdf_01000000__01001009___abd1be1808__char__a0a381e6a8,6,21,0.5,0.3962,relations_aggregated
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,家院,pdf_01000000__01001009___abd1be1808__char__ce47b2fd7a,6,8,0.5,0.1509,relations_aggregated
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,金氏,pdf_01000000__01001009___abd1be1808__char__73bf017916,4,18,0.3333,0.3396,relations_aggregated
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,丫鬟,pdf_01000000__01001009___abd1be1808__char__0e76207abc,2,2,0.1667,0.0377,relations_aggregated
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,媒婆,pdf_01000000__01001009___abd1be1808__char__8879b74b6c,2,2,0.1667,0.0377,relations_aggregated
