doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,程咬金,尉迟恭,对话/应答,对话,2,"黑贼不必逞舌能,我等俱是有功臣。投唐国公三十八,岂无尉迟一人能?无才无学能挂印,俺咬金可以领雄兵。",pdf_01000000__01002015___26a42a307f__line__000073,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,程咬金,李世民,对话/应答,对话,2,总是你帮他!,pdf_01000000__01002015___26a42a307f__line__000073,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,秦怀玉,程咬金,对话/应答,对话,1,"怀玉床前遵父命,含悲忍泪谢王恩:蒙主赐臣父职品,食王爵禄报君恩。叩罢万岁龙恩盛,回头再谢叔父尊:侄儿在朝受恩重,还望叔父好看成。倘有一点差池处,还看侄儿年纪轻。",pdf_01000000__01002015___26a42a307f__line__000075,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,尉迟恭,秦琼,对话/应答,对话,5,命我为帅。,pdf_01000000__01002015___26a42a307f__line__000077,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,李世民,尉迟恭,对话/应答,对话,1,"尉迟王兄,念在征东事大,看孤王分上跪下罢。",pdf_01000000__01002015___26a42a307f__line__000077,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,秦琼,程咬金,对话/应答,对话,1,"听我吩咐:为帅者,必须要饱读经纶,熟知战策,决胜千里之外,运筹帷幄之中;兵马不可糟蹋青苗,将士不可扰害良民;安营扎寨,须靠水而近山;遇高山,莫先登,遇空城,勿乱",pdf_01000000__01002015___26a42a307f__line__000077,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,徐勣,秦琼,对话/应答,对话,2,"准备酒宴多齐整,特请万岁饮杯巡。",pdf_01000000__01002015___26a42a307f__line__000077,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,尉迟恭,秦琼,命令/请求,命令,1,"可恨秦琼心太狠,藐视尉迟一品臣。就是某家来取印,只为辽东盖苏文。战表不住报得紧,万岁金殿宣老臣。军师命某挂帅印,为什么不肯让与人?怒气不息到前厅,",pdf_01000000__01002015___26a42a307f__line__000077,mention,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,秦怀玉,秦琼,同场共现,同场共现,1,（院子上。秦怀玉搀秦琼同上。）,,stage_direction,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,秦怀玉,院子,同场共现,同场共现,1,（院子上。秦怀玉搀秦琼同上。）,,stage_direction,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,秦琼,院子,同场共现,同场共现,1,（院子上。秦怀玉搀秦琼同上。）,,stage_direction,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,程咬金,旗牌,同场共现,同场共现,1,（旗牌打灯引程咬金同上。）,,stage_direction,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,程咬金,秦琼,协助,协助,3,程咬金星夜过府，告知取印之事并商议对策。,,llm,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,程咬金,秦怀玉,命令,命令,2,程咬金教唆秦怀玉明日打尉迟恭。,,llm,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,秦琼,程咬金,同盟,协助,3,秦琼答应依从程咬金所言，并承诺明日用言语摆布尉迟恭。,,llm,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,秦怀玉,程咬金,服从,服从,2,秦怀玉最终答应明日打尉迟恭。,,llm,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,李世民,秦琼,命令,命令,3,寡人昨日设朝...见你染病在床，无人挂帅，孤心未决。,,llm,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,秦琼,李世民,对抗,对抗,4,非是为臣抗君命，万岁本是错用人。,,llm,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,李世民,秦琼,协助,协助,5,孤有公主银瓶女，赐与怀玉配为婚。,,llm,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,秦琼,尉迟恭,对抗,对抗,4,你是甚等之人，敢伸手夺印，好不知羞耻！,,llm,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,秦琼,尉迟恭,命令,命令,3,跪下，待本帅教导与你。,,llm,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,程咬金,尉迟恭,对抗,对抗,2,黑贼不必逞舌能，我等俱是有功臣。,,llm,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,徐勣,秦琼,劝阻,劝阻,2,休道万岁错用人，病困绳索利在心。,,llm,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,秦怀玉,李世民,汇报,汇报,1,怀玉床前遵父命，含悲忍泪谢王恩。,,llm,
