doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01005017___c3461c8709,柳林池,0,序幕/前置内容,序幕/前置内容,忠义,忠义,1,,# 《柳林池》；# （一名：《韩琪杀庙》；一名：《三官堂》）,keyword
pdf_01000000__01005017___c3461c8709,柳林池,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《柳林池》；# （一名：《韩琪杀庙》；一名：《三官堂》）,keyword
pdf_01000000__01005017___c3461c8709,柳林池,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《柳林池》；# （一名：《韩琪杀庙》；一名：《三官堂》）,keyword
pdf_01000000__01005017___c3461c8709,柳林池,0,序幕/前置内容,序幕/前置内容,公案,公案,1,,# 《柳林池》；# （一名：《韩琪杀庙》；一名：《三官堂》）,keyword
pdf_01000000__01005017___c3461c8709,柳林池,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《柳林池》；# （一名：《韩琪杀庙》；一名：《三官堂》）,keyword
