doc_id,doc_title,alias_name,canonical_name,char_id,alias_char_id,derived_by
pdf_01000000__01004006___13b2265b9d,辕门射戟,奉先,吕布,pdf_01000000__01004006___13b2265b9d__char__916b136e7f,pdf_01000000__01004006___13b2265b9d__char__2cb1a62e5f,rule
pdf_01000000__01004006___13b2265b9d,辕门射戟,玄德,刘备,pdf_01000000__01004006___13b2265b9d__char__238f0dc566,pdf_01000000__01004006___13b2265b9d__char__8e1e4d32aa,rule
pdf_01000000__01004006___13b2265b9d,辕门射戟,皇叔,刘备,pdf_01000000__01004006___13b2265b9d__char__238f0dc566,pdf_01000000__01004006___13b2265b9d__char__40ad551549,rule
pdf_01000000__01004006___13b2265b9d,辕门射戟,翼德,张飞,pdf_01000000__01004006___13b2265b9d__char__173560819f,pdf_01000000__01004006___13b2265b9d__char__71d71cfa35,rule
