doc_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,cue,text,raw_line
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,51,dialogue,dialogue,邓伯道,白,罢了。,邓伯道 （白） 罢了。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,53,narration,narration,,,邓元、,邓元、
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,55,dialogue,dialogue,邓方,同白,唤儿出来，有何训教？,邓方 （同白） 唤儿出来，有何训教？
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,57,dialogue,dialogue,邓伯道,白,今当你爹爹，周年之期，备定祭礼，带领你弟兄二人，去到坟前一祭。,邓伯道 （白） 今当你爹爹，周年之期，备定祭礼，带领你弟兄二人，去到坟前一祭。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,59,narration,narration,,,邓元、,邓元、
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,61,dialogue,dialogue,邓方,同白,遵命。,邓方 （同白） 遵命。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,63,dialogue,dialogue,邓伯道,白,来，,邓伯道 （白） 来，
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,65,dialogue,dialogue,二家院,同白,有。,二家院 （同白） 有。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,67,dialogue,dialogue,邓伯道,白,吩咐祭礼抬上。,邓伯道 （白） 吩咐祭礼抬上。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,69,dialogue,dialogue,二家院,同白,祭礼拾上。,二家院 （同白） 祭礼拾上。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,71,stage_direction,stage_direction,,四青袍抬祭礼自两边分上。,,（四青袍抬祭礼自两边分上。）
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,73,dialogue,dialogue,邓伯道,白,嗳，兄弟吓！,邓伯道 （白） 嗳，兄弟吓！
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,75,dialogue,dialogue,,二黄慢板,叹兄弟遭不幸中年丧命，,（二黄慢板） 叹兄弟遭不幸中年丧命，
