doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01003015___7938d34c45,阴阳河,张茂深,pdf_01000000__01003015___7938d34c45__char__ba3079dc91,6,44,1.0,1.0,relations_aggregated
pdf_01000000__01003015___7938d34c45,阴阳河,李桂莲,pdf_01000000__01003015___7938d34c45__char__22ede1c5b6,4,25,0.6667,0.5682,relations_aggregated
pdf_01000000__01003015___7938d34c45,阴阳河,倪木,pdf_01000000__01003015___7938d34c45__char__99d8287f4a,4,16,0.6667,0.3636,relations_aggregated
pdf_01000000__01003015___7938d34c45,阴阳河,店家,pdf_01000000__01003015___7938d34c45__char__a4b2a51048,2,15,0.3333,0.3409,relations_aggregated
