doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01003002___acc415186d,群英会,3,【第三场】,诸葛亮,鲁肃,提及,提及,1,"这件事量鲁肃猜疑不透,他哪知我腹内另有机谋。",pdf_01000000__01003002___acc415186d__line__000097,mention,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,二水手,诸葛亮,对话/应答,对话,4,"启爷:满江大雾,观不见水景。",pdf_01000000__01003002___acc415186d__line__000105,adjacency,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,诸葛亮,鲁肃,对话/应答,对话,4,将船往北而进。,pdf_01000000__01003002___acc415186d__line__000105,adjacency,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,鲁肃,诸葛亮,对话/应答,对话,3,"曹营在北,去不得的,我要下去了。",pdf_01000000__01003002___acc415186d__line__000105,adjacency,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,鲁肃,二水手,对话/应答,对话,1,"鲁子敬在舟中浑身战抖,把性命当儿戏全不担忧。这时候哪还有心肠饮酒?此一去到曹营把命来丢!",pdf_01000000__01003002___acc415186d__line__000105,adjacency,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,诸葛亮,二水手,对话/应答,对话,2,"劝大夫放开怀宽心饮酒,些须小事何要你这等的忧愁。",pdf_01000000__01003002___acc415186d__line__000105,adjacency,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,诸葛亮,蒋干,对话/应答,对话,1,"吩咐鸣锣,擂鼓呐喊。",pdf_01000000__01003002___acc415186d__line__000105,adjacency,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,蒋干,曹操,对话/应答,对话,5,启禀丞相:外面人声呐喊。,pdf_01000000__01003002___acc415186d__line__000105,adjacency,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,曹操,蒋干,对话/应答,对话,6,"人声呐喊,想是周郎偷营,吩咐放箭!",pdf_01000000__01003002___acc415186d__line__000105,adjacency,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,蒋干,二水手,对话/应答,对话,1,放箭!,pdf_01000000__01003002___acc415186d__line__000105,adjacency,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,二水手,鲁肃,对话/应答,对话,1,"南阳诸葛借箭,谢丞相赠十万雕翎!",pdf_01000000__01003002___acc415186d__line__000105,adjacency,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,鲁肃,曹操,对话/应答,对话,1,我这才明白了。,pdf_01000000__01003002___acc415186d__line__000105,adjacency,
pdf_01000000__01003002___acc415186d,群英会,5,【第七场】,鲁肃,诸葛亮,对话/应答,对话,9,"先生,我真服了你了!",pdf_01000000__01003002___acc415186d__line__000115,adjacency,
pdf_01000000__01003002___acc415186d,群英会,5,【第七场】,诸葛亮,鲁肃,对话/应答,对话,8,服我何来?,pdf_01000000__01003002___acc415186d__line__000115,adjacency,
pdf_01000000__01003002___acc415186d,群英会,5,【第七场】,诸葛亮,龙套,对话/应答,对话,1,查看多少雕翎?,pdf_01000000__01003002___acc415186d__line__000115,adjacency,
pdf_01000000__01003002___acc415186d,群英会,5,【第七场】,龙套,诸葛亮,对话/应答,对话,1,"除去破坏,还有十万有余。",pdf_01000000__01003002___acc415186d__line__000115,adjacency,
pdf_01000000__01003002___acc415186d,群英会,6,【第八场】,周瑜,鲁肃,对话/应答,对话,5,"辕门鼓角声高,两旁排列枪刀。",pdf_01000000__01003002___acc415186d__line__000121,adjacency,
pdf_01000000__01003002___acc415186d,群英会,6,【第八场】,鲁肃,周瑜,对话/应答,对话,4,"忙将稀奇事,报与智谋人。",pdf_01000000__01003002___acc415186d__line__000121,adjacency,
pdf_01000000__01003002___acc415186d,群英会,6,【第八场】,鲁肃,军士,命令/请求,命令,1,"都督容禀:那孔明出得帐去,一天也不忙,两天也不慌,到了三日,他并不用我国工匠人等,只用战船二十支,茅草千担,军士五百名,青布帐幔,锣鼓全套,四更时分,去往曹营擂",pdf_01000000__01003002___acc415186d__line__000121,mention,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,龙套,周瑜,同场共现,同场共现,1,（四白龙套同上，周瑜上。）,,stage_direction,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,龙套,同场共现,同场共现,1,（四白龙套同上，周瑜上。）,,stage_direction,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,龙套,蒋干,同场共现,同场共现,1,（白龙套甲扶蒋干同下。）,,stage_direction,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,诸葛亮,鲁肃,同场共现,同场共现,1,（二水手同上，诸葛亮拉鲁肃同上。）,,stage_direction,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,曹操,蒋干,同场共现,同场共现,1,（曹操、蒋干同下。）,,stage_direction,
pdf_01000000__01003002___acc415186d,群英会,5,【第七场】,诸葛亮,鲁肃,同场共现,同场共现,2,（诸葛亮冷笑上，鲁肃上。）,,stage_direction,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,蒋干,试探,试探,3,周瑜直言蒋干为曹氏作说客,,llm,
