doc_id,doc_title,alias_name,canonical_name,char_id,alias_char_id,derived_by
pdf_01000000__01003002___acc415186d,群英会,孔明,诸葛亮,pdf_01000000__01003002___acc415186d__char__f94edb22f8,pdf_01000000__01003002___acc415186d__char__26dc5905f3,rule
pdf_01000000__01003002___acc415186d,群英会,孟德,曹操,pdf_01000000__01003002___acc415186d__char__80042e74d8,pdf_01000000__01003002___acc415186d__char__4e15f6fea1,rule
pdf_01000000__01003002___acc415186d,群英会,诸葛,诸葛亮,pdf_01000000__01003002___acc415186d__char__f94edb22f8,pdf_01000000__01003002___acc415186d__char__b1644f7976,rule
pdf_01000000__01003002___acc415186d,群英会,诸葛孔明,诸葛亮,pdf_01000000__01003002___acc415186d__char__f94edb22f8,pdf_01000000__01003002___acc415186d__char__22ffeaec67,rule
