doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01006002___ebf44f4611,战长沙,魏延,pdf_01000000__01006002___ebf44f4611__char__f758c109e6,8,35,1.0,0.7447,relations_aggregated
pdf_01000000__01006002___ebf44f4611,战长沙,黄忠,pdf_01000000__01006002___ebf44f4611__char__abcd3a6074,8,47,1.0,1.0,relations_aggregated
pdf_01000000__01006002___ebf44f4611,战长沙,关羽,pdf_01000000__01006002___ebf44f4611__char__93b598686e,7,20,0.875,0.4255,relations_aggregated
pdf_01000000__01006002___ebf44f4611,战长沙,韩玄,pdf_01000000__01006002___ebf44f4611__char__51d544f2d5,6,27,0.75,0.5745,relations_aggregated
pdf_01000000__01006002___ebf44f4611,战长沙,报子,pdf_01000000__01006002___ebf44f4611__char__466e31377e,5,5,0.625,0.1064,relations_aggregated
pdf_01000000__01006002___ebf44f4611,战长沙,手下,pdf_01000000__01006002___ebf44f4611__char__64bbfdba90,3,4,0.375,0.0851,relations_aggregated
pdf_01000000__01006002___ebf44f4611,战长沙,龙套,pdf_01000000__01006002___ebf44f4611__char__2901cd8301,1,2,0.125,0.0426,relations_aggregated
